k,silhouette,db,ch,inertia,space
35,0.0125,7.941,8.5,11230.0,raw TF-IDF
36,0.0137,7.442,8.5,11211.7,raw TF-IDF
37,0.0116,7.815,8.2,11217.7,raw TF-IDF
38,0.014,7.594,8.1,11205.4,raw TF-IDF
39,0.0127,7.648,7.9,11204.2,raw TF-IDF
40,0.0113,7.68,7.9,11197.6,raw TF-IDF
41,0.0125,7.502,7.8,11188.2,raw TF-IDF
42,0.0106,7.647,7.6,11189.6,raw TF-IDF
43,0.014,7.835,7.5,11184.1,raw TF-IDF
44,0.0133,7.601,7.3,11182.0,raw TF-IDF
45,0.0134,7.487,7.3,11171.8,raw TF-IDF
46,0.0138,7.303,7.2,11165.6,raw TF-IDF
47,0.0122,7.632,7.1,11157.8,raw TF-IDF
48,0.0133,7.7,7.1,11154.7,raw TF-IDF
49,0.0139,7.469,6.9,11150.8,raw TF-IDF
50,0.0126,7.497,6.9,11139.2,raw TF-IDF
51,0.0134,7.213,6.8,11138.4,raw TF-IDF
52,0.013,7.325,6.8,11127.7,raw TF-IDF
53,0.0124,7.257,6.7,11122.6,raw TF-IDF
54,0.0102,7.341,6.5,11126.9,raw TF-IDF
55,0.0141,7.205,6.5,11114.2,raw TF-IDF
56,0.0138,7.227,6.5,11106.8,raw TF-IDF
57,0.014,7.136,6.4,11099.7,raw TF-IDF
58,0.0146,7.156,6.3,11105.3,raw TF-IDF
59,0.0141,7.066,6.3,11098.3,raw TF-IDF
60,0.0151,7.354,6.1,11102.9,raw TF-IDF
61,0.0117,6.877,6.1,11089.3,raw TF-IDF
62,0.0153,7.067,6.1,11082.8,raw TF-IDF
63,0.0137,7.147,6.0,11083.7,raw TF-IDF
64,0.0115,6.97,6.0,11070.5,raw TF-IDF
65,0.0151,7.129,5.9,11076.3,raw TF-IDF
66,0.015,7.152,5.8,11074.2,raw TF-IDF
67,0.0154,6.827,5.8,11064.8,raw TF-IDF
68,0.0144,6.99,5.8,11061.8,raw TF-IDF
69,0.0153,6.861,5.7,11054.5,raw TF-IDF
70,0.015,6.859,5.6,11052.6,raw TF-IDF
71,0.0142,6.998,5.5,11061.1,raw TF-IDF
72,0.0152,6.961,5.5,11061.4,raw TF-IDF
73,0.015,6.947,5.4,11054.7,raw TF-IDF
74,0.0152,6.812,5.4,11049.0,raw TF-IDF
75,0.012,6.935,5.4,11039.4,raw TF-IDF
76,0.0147,6.828,5.4,11032.7,raw TF-IDF
77,0.0122,6.835,5.4,11023.1,raw TF-IDF
78,0.0158,6.786,5.3,11032.1,raw TF-IDF
79,0.0166,6.647,5.2,11029.7,raw TF-IDF
80,0.0116,6.664,5.1,11026.1,raw TF-IDF
81,0.014,6.553,5.2,11005.9,raw TF-IDF
82,0.0156,6.645,5.1,11019.7,raw TF-IDF
83,0.0148,6.722,5.1,11010.4,raw TF-IDF
84,0.0127,6.653,5.1,11002.5,raw TF-IDF
85,0.0168,6.753,5.0,11005.4,raw TF-IDF
86,0.0157,6.561,5.0,10997.3,raw TF-IDF
87,0.016,6.602,5.0,11000.2,raw TF-IDF
88,0.0134,6.683,5.0,10986.3,raw TF-IDF
89,0.0148,6.473,4.9,10980.2,raw TF-IDF
90,0.0161,6.522,4.9,10987.0,raw TF-IDF
91,0.0165,6.519,4.8,10982.7,raw TF-IDF
92,0.0167,6.509,4.8,10978.0,raw TF-IDF
93,0.0169,6.501,4.8,10979.0,raw TF-IDF
94,0.017,6.476,4.7,10976.6,raw TF-IDF
95,0.0168,6.477,4.7,10972.0,raw TF-IDF
96,0.0174,6.441,4.7,10968.1,raw TF-IDF
97,0.0179,6.428,4.7,10962.5,raw TF-IDF
98,0.0179,6.421,4.7,10959.9,raw TF-IDF
99,0.0173,6.395,4.6,10955.7,raw TF-IDF
100,0.0174,6.406,4.6,10951.6,raw TF-IDF
101,0.0174,6.404,4.6,10950.1,raw TF-IDF
102,0.0175,6.352,4.6,10943.4,raw TF-IDF
103,0.0177,6.346,4.6,10939.4,raw TF-IDF
104,0.0178,6.336,4.5,10935.7,raw TF-IDF
105,0.0176,6.32,4.5,10934.8,raw TF-IDF
106,0.0175,6.315,4.5,10933.9,raw TF-IDF
107,0.0178,6.283,4.4,10929.4,raw TF-IDF
108,0.0179,6.268,4.4,10925.5,raw TF-IDF
109,0.0177,6.299,4.4,10927.6,raw TF-IDF
110,0.0178,6.273,4.4,10924.1,raw TF-IDF
111,0.0176,6.247,4.3,10922.0,raw TF-IDF
112,0.0178,6.286,4.3,10920.7,raw TF-IDF
113,0.0174,6.272,4.3,10922.6,raw TF-IDF
114,0.0174,6.237,4.3,10917.8,raw TF-IDF
115,0.0101,6.273,4.3,10907.7,raw TF-IDF
116,0.0172,6.241,4.2,10916.1,raw TF-IDF
117,0.0169,6.263,4.2,10913.4,raw TF-IDF
118,0.0169,6.237,4.2,10911.0,raw TF-IDF
119,0.0132,6.008,4.2,10895.4,raw TF-IDF
120,0.0173,6.196,4.1,10905.7,raw TF-IDF
